Frame,Timestamp,Dominant_Emotion,neutral,happy,sad,angry,fear,surprise,disgust
0,0.0,angry,10.101459,2.1491973,3.151343,81.55337,0.064939976,2.977829,0.0018641712
5,0.21,sad,17.915535,0.002085015,76.281815,2.9291558,2.8690708,0.002285259,5.4193348e-05
10,0.42,happy,10.97022,36.963486,16.384045,0.05638309,35.623894,0.0019356463,3.151542e-05
15,0.63,sad,2.5354903,1.291021e-06,91.59183,1.2712877,4.601392,4.078684e-06,1.918784e-08
20,0.83,sad,0.11347831,1.49306015e-05,96.24927,0.077975586,3.5592103,4.585399e-05,1.03143e-07
25,1.04,sad,1.1541039,7.7410325e-05,97.91474,0.5690382,0.3620162,2.5756493e-05,8.299681e-07
30,1.25,sad,2.0907245,0.00012424475,91.815186,1.443427,4.6501546,0.00036404416,2.281647e-05
35,1.46,sad,44.678085,0.0006667138,48.402325,2.9805932,3.936665,0.001645707,2.5050587e-05
40,1.67,fear,4.741811,9.802205,6.328486,3.542951,73.89456,1.6889455,0.0010417626
45,1.88,sad,5.2425866,0.00076489174,88.92882,1.0050431,4.8227596,2.5161384e-05,6.463152e-07
50,2.09,sad,2.2797098,0.2152551,73.77753,4.259586,17.563328,1.9041069,0.00048569558
55,2.29,fear,0.5093915,0.11359526,44.3261,0.710736,54.255585,0.08353583,0.0010651003
60,2.5,sad,33.24613,0.030666798,41.822372,13.645519,11.135937,0.11861685,0.00075357873
65,2.71,sad,3.001576,0.36565664,59.67937,9.529412,26.717049,0.7046328,0.0022989295
70,2.92,sad,0.83288556,0.0123499045,84.672295,5.0048842,9.397819,0.07955781,0.00020085888
75,3.13,sad,3.0638905,6.7355046e-05,94.04466,0.3259837,2.565401,4.9034793e-07,2.2615087e-08
80,3.34,sad,1.3654304,0.00063105905,95.194305,0.7365968,2.7025707,0.00045771676,1.0940653e-06
85,3.55,sad,44.01311,0.0058953855,50.362617,4.08029,1.5179021,0.020180346,6.3272646e-06
90,3.75,sad,0.017163586,0.0050737644,66.978165,5.3983665,13.825824,13.775383,2.1353268e-05
95,3.96,fear,0.008768739,12.650115,0.16790184,2.4507813,84.722336,9.8553e-05,2.5241545e-14
100,4.17,neutral,70.06567,0.010755112,26.141945,2.254403,1.5216922,0.0041187275,0.0014246855
105,4.38,neutral,87.91623,0.016450228,9.76512,1.1746941,1.0817373,0.04239569,0.0033699463
110,4.59,neutral,83.60377,0.15337373,5.805929,0.0004727129,10.429578,0.006879642,3.651849e-10
115,4.8,neutral,58.37747,2.8908327,25.423073,1.4052981,10.91918,0.9721864,0.011957731
120,5.0,neutral,98.22442,0.051219475,0.98387957,0.09409372,0.6288338,0.017544093,4.7834537e-06
125,5.21,neutral,44.536,0.02011816,39.301605,11.959741,4.1740394,0.0077466574,0.00075034896
130,5.42,neutral,90.97542,0.020765657,5.9786367,0.96834785,2.0377314,0.018680407,0.0004228851
135,5.63,angry,26.117125,0.28293067,27.316021,29.018555,15.014598,2.2419398,0.00882742
140,5.84,sad,15.521872,0.58762056,68.43188,11.513837,3.7926297,0.15213472,2.4030318e-05
145,6.05,neutral,52.015377,0.037088897,43.78902,3.2866545,0.86913097,0.0026570603,7.187546e-05
150,6.26,sad,0.46516335,0.0037805664,58.836906,24.056444,16.55646,0.07983053,0.0014140019
155,6.46,sad,0.8516893,0.00029375893,91.77658,1.9916661,5.3793144,0.0004184616,3.8903916e-05
